Title,Genre,Director
The Manchurian Candidate,Drama Thriller Mystery,Jonathan Demme
Déjà Vu,Romance Drama,Henry Jaglom
Hotel Transylvania 2,Animation Comedy Family,Genndy Tartakovsky
Fantasia 2000,Animation Family Music,James Algar
The Time Machine,Science Fiction Adventure Action,Simon Wells
Mighty Joe Young,Action Adventure Family Fantasy,Ron Underwood
Swordfish,Action Crime Thriller,Dominic Sena
The Legend of Zorro,Action Adventure,Martin Campbell
What Dreams May Come,Drama Fantasy Romance,Vincent Ward
Little Nicky,Comedy Fantasy Romance,Steven Brill
The Brothers Grimm,Adventure Fantasy Action Comedy Thriller,Terry Gilliam
Mars Attacks!,Comedy Fantasy Science Fiction,Tim Burton
Évolution,Mystery Drama Horror,Lucile Hadzihalilovic
The Edge,Action Adventure Drama,Lee Tamahori
Surrogates,Action Science Fiction Thriller,Jonathan Mostow
Thirteen Days,Drama Thriller,Roger Donaldson
Daylight,Action Adventure Thriller,Rob Cohen
Walking With Dinosaurs,Animation Family Adventure,Barry Cook
Battlefield Earth,Action Science Fiction War,Roger Christian
Looney Tunes: Back in Action,Animation Comedy Family,Joe Dante
Nine,Drama Music Romance,Rob Marshall
Timeline,Action Adventure Science Fiction,Richard Donner
The Postman,Drama Adventure,Kevin Costner
Babe: Pig in the City,Adventure Comedy Drama Family Fantasy,George Miller
The Last Witch Hunter,Fantasy Action Adventure,Breck Eisner
Red Planet,Thriller Action Science Fiction,Antony Hoffman
Arthur et les Minimoys,Adventure Fantasy Animation Family,Luc Besson
Oceans,Documentary Family,Jacques Perrin
A Sound of Thunder,Thriller Science Fiction Adventure Action,Peter Hyams
Pompeii,Action Adventure History Romance Drama,Paul W.S. Anderson
Don Gato: El inicio de la pandilla,Comedy Animation,Andr\u00e9s Couturier
A Beautiful Mind,Drama Romance,Ron Howard
The Lion King,Family Animation Drama,Roger Allers
Journey 2: The Mysterious Island,Adventure Action Science Fiction,Brad Peyton
Cloudy with a Chance of Meatballs 2,Animation Family Comedy,Cody Cameron
Red Dragon,Crime Thriller Horror,Brett Ratner
Hidalgo,Western Adventure,Joe Johnston
Jack and Jill,Comedy,Dennis Dugan
2 Fast 2 Furious,Action Crime Thriller,John Singleton
The Little Prince,Adventure Animation Fantasy,Mark Osborne
The Invasion,Science Fiction Thriller,Oliver Hirschbiegel
The Adventures of Rocky & Bullwinkle,Action Adventure Animation Comedy Family,Des McAnuff
The Secret Life of Pets,Animation Family,Chris Renaud
The League of Extraordinary Gentlemen,Fantasy Action Thriller Science Fiction,Stephen Norrington
Despicable Me 2,Animation Comedy Family,Pierre Coffin
Independence Day,Action Adventure Science Fiction,Roland Emmerich
The Lost World: Jurassic Park,Adventure Action Science Fiction,Steven Spielberg
Madagascar,Family Animation,Eric Darnell
Children of Men,Drama Action Thriller Science Fiction,Alfonso Cuar\u00f3n
X-Men,Adventure Action Science Fiction,Bryan Singer
Wanted,Action Thriller Crime,Timur Bekmambetov
The Rock,Action Adventure Thriller,Michael Bay
Ice Age: The Meltdown,Animation Family Comedy Adventure,Carlos Saldanha
50 First Dates,Comedy Romance,Peter Segal
Hairspray,Family Comedy Music Romance,Adam Shankman
Exorcist: The Beginning,Horror Mystery Thriller,Renny Harlin
Inspector Gadget,Action Adventure Comedy Family,David Kellogg
Now You See Me,Thriller Crime,Louis Leterrier
Grown Ups,Comedy,Dennis Dugan
The Terminal,Comedy Drama,Steven Spielberg
Hotel for Dogs,Comedy Family,Thor Freudenthal
Vertical Limit,Action Adventure Thriller,Martin Campbell
Charlie Wilson's War,Comedy Drama History,Mike Nichols
Shark Tale,Animation Action Comedy Family,Vicky Jenson
Dreamgirls,Drama,Bill Condon
Be Cool,Comedy Crime,F. Gary Gray
Munich,Drama Action History Thriller,Steven Spielberg
Tears of the Sun,Action Drama War,Antoine Fuqua
Killers,Action Comedy Thriller Romance,Robert Luketic
The Man from U.N.C.L.E.,Comedy Action Adventure,Guy Ritchie
Spanglish,Comedy,James L. Brooks
Monster House,Animation Comedy Family Fantasy,Gil Kenan
Bandits,Action Comedy Crime Romance,Barry Levinson
First Knight,Action Adventure Drama Romance,Jerry Zucker
Anna and the King,Drama History Romance,Andy Tennant
Immortals,Fantasy Action Drama,Tarsem Singh
Hostage,Mystery Drama Thriller Crime,Florent-Emilio Siri
Titan A.E.,Animation Action Science Fiction Family Adventure,Gary Goldman
Hollywood Homicide,Action Adventure Comedy Thriller,Ron Shelton
Soldier,Action War Science Fiction,Paul W.S. Anderson
Carriers,Action Drama Horror Science Fiction Thriller,\u00c0lex Pastor
Monkeybone,Adventure Fantasy Animation Action Comedy,Henry Selick
Flight of the Phoenix,Action Adventure Drama Thriller,John Moore
Unbreakable,Science Fiction Thriller Drama,M. Night Shyamalan
Minions,Family Animation Adventure Comedy,Kyle Balda
Sucker Punch,Action Fantasy Thriller,Zack Snyder
Snake Eyes,Crime Mystery,Brian De Palma
Sphere,Science Fiction,Barry Levinson
The Angry Birds Movie,Family Animation,Fergal Reilly
Fool's Gold,Romance Comedy Adventure,Andy Tennant
Funny People,Comedy Drama,Judd Apatow
The Kingdom,Thriller Action Drama,Peter Berg
Talladega Nights: The Ballad of Ricky Bobby,Comedy,Adam McKay
Dr. Dolittle 2,Comedy Family Romance Fantasy,Steve Carr
Braveheart,Action Drama History War,Mel Gibson
Jarhead,Drama War,Sam Mendes
The Simpsons Movie,Animation Comedy Family,David Silverman
The Majestic,Drama Romance,Frank Darabont
Driven,Action,Renny Harlin
Deux frères,Adventure Drama Family,Jean-Jacques Annaud
The Village,Drama Mystery Thriller,M. Night Shyamalan
Doctor Dolittle,Comedy Family Fantasy,Betty Thomas
Signs,Drama Thriller Science Fiction Mystery,M. Night Shyamalan
Shrek 2,Adventure Animation Comedy Family Fantasy,Andrew Adamson
Cars,Animation Adventure Comedy Family,John Lasseter
Runaway Bride,Comedy Romance,Garry Marshall
xXx,Action Adventure Thriller,Rob Cohen
The SpongeBob Movie: Sponge Out of Water,Animation Adventure Comedy Family,Paul Tibbitt
Ransom,Action Thriller,Ron Howard
Inglourious Basterds,Drama Action Thriller War,Quentin Tarantino
Hook,Adventure Fantasy Comedy Family,Steven Spielberg
Die Hard 2,Action Thriller,Renny Harlin
S.W.A.T.,Action Thriller Crime,Clark Johnson
Vanilla Sky,Drama Mystery Romance Science Fiction Thriller,Cameron Crowe
Lady in the Water,Drama Thriller Fantasy Mystery,M. Night Shyamalan
AVP: Alien vs. Predator,Adventure Science Fiction Action,Paul W.S. Anderson
Alvin and the Chipmunks: The Squeakquel,Comedy Family Animation Fantasy Music,Betty Thomas
We Were Soldiers,Action History War,Randall Wallace
Olympus Has Fallen,Action Thriller,Antoine Fuqua
Star Trek: Insurrection,Science Fiction Action Adventure Thriller,Jonathan Frakes
Battle: Los Angeles,Action Science Fiction,Jonathan Liebesman
Big Fish,Adventure Fantasy Drama,Tim Burton
Wolf,Fantasy,Mike Nichols
War Horse,Drama War,Steven Spielberg
The Monuments Men,War Drama History Action,George Clooney
The Abyss,Adventure Action Thriller Science Fiction,James Cameron
Wall Street: Money Never Sleeps,Drama Crime,Oliver Stone
Dracula Untold,Horror Action Drama Fantasy War,Gary Shore
The Siege,Drama Action Thriller Crime,Edward Zwick
Stardust,Adventure Fantasy Romance Family,Matthew Vaughn
Seven Years in Tibet,Adventure Drama History,Jean-Jacques Annaud
The Dilemma,Comedy Drama,Ron Howard
Bad Company,Action Adventure Comedy Thriller,Joel Schumacher
Doom,Adventure Action Horror,Andrzej Bartkowiak
I Spy,Action Adventure Comedy Thriller,Betty Thomas
Underworld: Awakening,Fantasy Action Horror,M\u00e5ns M\u00e5rlind
Rock of Ages,Comedy Drama Music Romance,Adam Shankman
Hart's War,Drama War,Gregory Hoblit
Killer Elite,Action Adventure Thriller,Gary McKendry
Rollerball,Action Science Fiction Thriller,John McTiernan
Ballistic: Ecks vs. Sever,Action Adventure Thriller,Wych Kaosayananda
Hard Rain,Thriller,Mikael Salomon
Osmosis Jones,Adventure Animation Action Comedy Family,Bobby Farrelly
Legends of Oz: Dorothy's Return,Animation Music Family,Dan St. Pierre
Blackhat,Crime Drama Mystery,Michael Mann
Sky Captain and the World of Tomorrow,Mystery Action Thriller Science Fiction Adventure,Kerry Conran
Basic Instinct 2,Crime Mystery Thriller,Michael Caton-Jones
Escape Plan,Action Thriller,Mikael H\u00e5fstr\u00f6m
The Legend of Hercules,Action Adventure,Renny Harlin
The Sum of All Fears,Thriller Action Drama,Phil Alden Robinson
The Twilight Saga: Eclipse,Adventure Fantasy Drama Romance,David Slade
The Score,Action Crime Thriller,Frank Oz
Despicable Me,Animation Family,Pierre Coffin
Money Train,Action Comedy Crime,Joseph Ruben
Ted 2,Comedy,Seth MacFarlane
Agora,Adventure Drama History,Alejandro Amen\u00e1bar
Mystery Men,Adventure Fantasy Action Comedy Science Fiction,Kinka Usher
Hall Pass,Comedy,Bobby Farrelly
The Insider,Drama Thriller,Michael Mann
The Finest Hours,Action Drama History Thriller,Craig Gillespie
Body of Lies,Action Drama Thriller,Ridley Scott
Dinner for Schmucks,Comedy,Jay Roach
Abraham Lincoln: Vampire Hunter,Action Fantasy Horror,Timur Bekmambetov
Entrapment,Romance Drama Mystery,Jon Amiel
The X Files,Mystery Science Fiction Thriller,Rob Bowman
The Last Legion,Action Adventure Fantasy War,Doug Lefler
Saving Private Ryan,Drama History War,Steven Spielberg
Need for Speed,Action Crime Drama Thriller,Scott Waugh
What Women Want,Comedy Romance,Nancy Meyers
Ice Age,Animation Comedy Family Adventure,Chris Wedge
Dreamcatcher,Drama Horror Science Fiction Thriller,Lawrence Kasdan
Lincoln,History Drama,Steven Spielberg
The Matrix,Action Science Fiction,Lilly Wachowski
Apollo 13,Drama,Ron Howard
The Santa Clause 2,Fantasy Comedy Family,Michael Lembeck
Les Misérables,Drama Music Romance,Tom Hooper
You've Got Mail,Comedy Romance,Nora Ephron
Step Brothers,Comedy,Adam McKay
The Mask of Zorro,Action Adventure,Martin Campbell
Due Date,Comedy Drama,Todd Phillips
Unbroken,Drama War,Angelina Jolie
Space Cowboys,Action Adventure Thriller,Clint Eastwood
Cliffhanger,Action Adventure Thriller,Renny Harlin
Broken Arrow,Action Adventure Drama Thriller,John Woo
The Kid,Fantasy Comedy Family,Jon Turteltaub
World Trade Center,Drama History Thriller,Oliver Stone
Mona Lisa Smile,Drama Romance,Mike Newell
The Dictator,Comedy,Larry Charles
Eyes Wide Shut,Mystery Drama,Stanley Kubrick
Annie,Comedy Drama Family,Will Gluck
Focus,Romance Comedy Crime Drama,Glenn Ficarra
This Means War,Action Comedy Romance,McG
Blade: Trinity,Science Fiction Action Horror Thriller Adventure,David S. Goyer
Red Dawn,Action Thriller,John Milius
Primary Colors,Comedy Drama,Mike Nichols
Resident Evil: Retribution,Action Horror Science Fiction,Paul W.S. Anderson
Death Race,Action Thriller Science Fiction,Paul W.S. Anderson
The Long Kiss Goodnight,Crime Action Mystery Thriller,Renny Harlin
Proof of Life,Action Adventure Drama Romance Thriller,Taylor Hackford
Zathura: A Space Adventure,Family Fantasy Science Fiction Adventure,Jon Favreau
Fight Club,Drama,David Fincher
We Are Marshall,Drama,McG
Hudson Hawk,Action Adventure Comedy,Michael Lehmann
Lucky Numbers,Action Adventure Comedy Crime Romance,Nora Ephron
"I, Frankenstein",Horror Thriller,Stuart Beattie
Oliver Twist,Crime Drama Family,Roman Polanski
Elektra,Action Fantasy,Rob Bowman
Sin City: A Dame to Kill For,Crime Thriller,Robert Rodriguez
Random Hearts,Drama Romance,Sydney Pollack
Everest,Adventure Drama,Baltasar Korm\u00e1kur
Perfume: The Story of a Murderer,Crime Fantasy Drama,Tom Tykwer
Austin Powers in Goldmember,Comedy Crime Science Fiction,Jay Roach
Astro Boy,Animation Action Family Science Fiction,David Bowers
Jurassic Park,Adventure Science Fiction,Steven Spielberg
Wyatt Earp,Drama Action Western,Lawrence Kasdan
Clear and Present Danger,Action Drama Thriller,Phillip Noyce
天將雄師,Action Drama Adventure,Daniel Lee
Little Man,Comedy Crime,Keenen Ivory Wayans
U-571,Action Drama Thriller War,Jonathan Mostow
The American President,Comedy Drama Romance,Rob Reiner
The Love Guru,Comedy Romance,Marco Schnabel
3000 Miles to Graceland,Action Adventure Comedy Thriller Crime,Demian Lichtenstein
The Hateful Eight,Crime Drama Mystery Western,Quentin Tarantino
Blades of Glory,Action Comedy Drama,Josh Gordon
Hop,Animation Comedy Family,Tim Hill
300,Action Adventure War,Zack Snyder
Meet the Fockers,Comedy Romance,Jay Roach
Marley & Me,Comedy Family,David Frankel
The Green Mile,Fantasy Drama Crime,Frank Darabont
Wild Hogs,Action Adventure Comedy,Walt Becker
Chicken Little,Animation Family Comedy,Mark Dindal
Gone Girl,Mystery Thriller Drama,David Fincher
The Bourne Identity,Action Drama Mystery Thriller,Doug Liman
GoldenEye,Adventure Action Thriller,Martin Campbell
The General's Daughter,Crime Drama Mystery Thriller,Simon West
The Truman Show,Comedy Drama,Peter Weir
The Prince of Egypt,Adventure Animation Drama Family Music,Simon Wells
Daddy Day Care,Comedy Family,Steve Carr
2 Guns,Action Comedy Crime,Baltasar Korm\u00e1kur
Cats & Dogs,Comedy Family,Lawrence Guterman
The Italian Job,Action Crime,F. Gary Gray
Two Weeks Notice,Romance Comedy,Marc Lawrence
Antz,Adventure Animation Comedy Family,Eric Darnell
Couples Retreat,Comedy Romance,Peter Billingsley
Days of Thunder,Adventure,Tony Scott
Cheaper by the Dozen 2,Comedy,Adam Shankman
Maze Runner: The Scorch Trials,Action,Wes Ball
Eat Pray Love,Drama,Ryan Murphy
The Family Man,Comedy Drama Romance Fantasy,Brett Ratner
RED,Action Adventure Comedy Crime Thriller,Robert Schwentke
Any Given Sunday,Drama,Oliver Stone
The Horse Whisperer,Drama Romance,Robert Redford
Collateral,Drama Crime Thriller,Michael Mann
The Scorpion King,Action Fantasy Adventure,Chuck Russell
Ladder 49,Drama Action Thriller,Jay Russell
Jack Reacher,Crime Drama Thriller,Christopher McQuarrie
Deep Blue Sea,Action Science Fiction Thriller,Renny Harlin
Michael Jackson's This Is It,Music Documentary,Kenny Ortega
Contagion,Drama Thriller Science Fiction,Steven Soderbergh
Kangaroo Jack,Comedy Adventure Crime,David McNally
Coraline,Animation Family,Henry Selick
The Happening,Thriller Science Fiction,M. Night Shyamalan
Man on Fire,Action Drama Thriller Crime,Tony Scott
The Shaggy Dog,Comedy Family,Brian Robbins
Starsky & Hutch,Comedy Crime,Todd Phillips
Jingle All the Way,Family Comedy,Brian Levant
Hellboy,Fantasy Action Science Fiction,Guillermo del Toro
A Civil Action,Drama,Steven Zaillian
ParaNorman,Family Animation Adventure Comedy,Sam Fell
The Jackal,Action Thriller Adventure Crime,Michael Caton-Jones
Paycheck,Action Adventure Mystery Science Fiction Thriller,John Woo
Up Close & Personal,Drama Romance,Jon Avnet
The Tale of Despereaux,Adventure Animation Family,Robert Stevenhagen
The Tuxedo,Thriller Action Comedy Science Fiction,Kevin Donovan
Under Siege 2: Dark Territory,Action Thriller,Geoff Murphy
Jack Ryan: Shadow Recruit,Action Drama Thriller,Kenneth Branagh
Joy,Drama Comedy,David O. Russell
London Has Fallen,Action Crime Thriller,Babak Najafi
Alien: Resurrection,Science Fiction Horror Action,Jean-Pierre Jeunet
Shooter,Action Drama Mystery Thriller Crime,Antoine Fuqua
The Boxtrolls,Animation Comedy Family Fantasy,Anthony Stacchi
Practical Magic,Drama Fantasy Comedy,Griffin Dunne
The Lego Movie,Adventure Animation Comedy Family Fantasy,Phil Lord
Miss Congeniality 2: Armed and Fabulous,Action Comedy,John Pasquin
Reign of Fire,Adventure Action Fantasy,Rob Bowman
Gangster Squad,Crime Drama Action Thriller,Ruben Fleischer
Year One,Comedy Adventure,Harold Ramis
Invictus,Drama History,Clint Eastwood
State of Play,Action,Kevin Macdonald
Duplicity,Romance Comedy Crime,Tony Gilroy
My Favorite Martian,Comedy Drama Family Science Fiction,Donald Petrie
The Sentinel,Action Thriller Crime,Clark Johnson
Planet 51,Science Fiction Animation Family Comedy Adventure,Jorge Blanco
Star Trek: Nemesis,Science Fiction Action Adventure Thriller,Stuart Baird
Intolerable Cruelty,Crime Comedy Romance,Joel Coen
Trouble with the Curve,Drama Romance,Robert Lorenz
Edge of Darkness,Crime Drama Mystery Thriller,Martin Campbell
The Relic,Horror Mystery Thriller,Peter Hyams
Analyze That,Comedy Crime,Harold Ramis
Righteous Kill,Action Crime Drama Thriller,Jon Avnet
Mercury Rising,Action Crime Drama Thriller,Harold Becker
The Soloist,Drama,Joe Wright
The Legend of Bagger Vance,Fantasy Drama,Robert Redford
Almost Famous,Drama Music,Cameron Crowe
Garfield: A Tail of Two Kitties,Animation Comedy Family,Tim Hill
xXx: State of the Union,Action Adventure Crime Drama Mystery,Lee Tamahori
Priest,Action Science Fiction Fantasy Thriller Horror,Scott Stewart
Sinbad: Legend of the Seven Seas,Family Animation Adventure,Tim Johnson
Event Horizon,Horror Science Fiction Mystery,Paul W.S. Anderson
Dragonfly,Drama,Tom Shadyac
The Black Dahlia,Drama,Brian De Palma
Flyboys,Action Adventure Drama History Romance,Tony Bill
The Last Castle,Action Drama Thriller,Rod Lurie
Supernova,Horror Science Fiction Thriller,Walter Hill
Winter's Tale,Drama Fantasy Mystery Romance,Akiva Goldsman
The Mortal Instruments: City of Bones,Action Adventure Drama Mystery Romance,Harald Zwart
Meet Dave,Comedy Science Fiction Adventure Family,Brian Robbins
Dark Water,Drama Horror Thriller,Walter Salles
Edtv,Comedy,Ron Howard
Inkheart,Adventure Family Fantasy,Iain Softley
The Spirit,Action Comedy Thriller Crime Science Fiction,Frank Miller
Mortdecai,Comedy Adventure,David Koepp
In the Name of the King: A Dungeon Siege Tale,Adventure Fantasy Action Drama,Uwe Boll
